Type,Unique id,Land number,Description,Left upper lat position,Left upper lat direction,Left upper lon position,Left upper lon direction,Right lower lat position,Right lower lat direction,Right lower lon position,Right lower lon direction
re,74,52173,PhvqByFhCK,44.2120363381845,N,91.02654769071374,E,80.30268513374334,S,139.79798545105638,E
re,75,9179,SCBlksQpUk,23.276418547810906,S,117.97819446052948,W,18.8598389490913,N,118.12457037525328,E
re,76,62420,stTqwycanR,29.063110802071076,N,130.5560360088901,E,80.30268513374334,S,139.79798545105638,E
l,77,77273,IiueuDFTUJ,46.41041165519038,S,31.14186908941907,E,80.30268513374334,S,139.79798545105638,E
l,78,46102,lJrKYGPNWT,29.063110802071076,N,130.5560360088901,E,72.0124001509939,S,140.62792735888917,E
re,79,66198,ZTGnfapRBU,83.55780696235618,S,121.11071930012461,W,80.30268513374334,S,139.79798545105638,E
re,80,51202,IkAtCfJCao,46.41041165519038,S,31.14186908941907,E,78.09832671137588,S,19.378907327470944,E
re,81,48454,NjTXTTqgjk,46.41041165519038,S,31.14186908941907,E,35.20881660438101,S,157.82674635727173,W
re,82,72263,cKcrxTkEKY,18.674371130584017,N,92.32374802489177,W,61.96326675046554,N,161.86812295414217,W
re,83,23239,ztXHQmdzEJ,67.46475395292927,N,170.6054983909401,W,80.30268513374334,S,139.79798545105638,E
re,84,38895,nmIGjXuZsM,46.41041165519038,S,31.14186908941907,E,0.6684018323821223,S,106.20263002209342,W
l,85,6194,DsINLdomOz,2.6809489568398703,S,62.29589999478891,E,54.46308866034539,N,89.3949691548175,W
re,86,42525,VTNipeNmoe,46.41041165519038,S,31.14186908941907,E,36.56391676331766,S,124.67773366681621,E
re,87,31965,UnbNhgdepe,46.41041165519038,S,31.14186908941907,E,45.18173422580209,N,167.83613604688776,E
l,88,65864,bopHOlLanV,69.91601900693084,S,173.6620396312143,W,80.30268513374334,S,139.79798545105638,E
re,89,58410,KWLJIXNwYp,11.854959281573937,N,62.53880341398262,E,24.82172869861108,S,143.07187947612078,E
re,90,25832,IWFLcnDHHW,69.91601900693084,S,173.6620396312143,W,40.65939528893287,N,104.75425430891393,W
l,91,56037,aItZgOZoGo,34.52721284991852,S,124.70013353556106,W,80.30268513374334,S,139.79798545105638,E
re,92,1555,kmyMazUTEm,34.52721284991852,S,124.70013353556106,W,28.62829094603595,S,146.66013599165228,E
re,93,2009,vYKDCVyvYV,47.55465612688721,S,103.8337353028296,W,38.19291301884641,N,166.58189133211962,E
l,94,10197,xHAXdxAKYi,67.46475395292927,N,170.6054983909401,W,54.98634718741683,N,31.22224393814236,W
l,95,5146,RegTmcFOGi,31.853589963953986,S,156.75506316142733,W,80.30268513374334,S,139.79798545105638,E
re,96,86309,PaIwGBaKZg,31.853589963953986,S,156.75506316142733,W,14.052891529856051,N,105.89987449705146,W
l,97,42841,DjUfmslmjN,67.46475395292927,N,170.6054983909401,W,15.13598526579108,S,115.01776321972129,E
l,98,8290,iOyXzLBuYK,40.13257559409667,N,90.25203787416056,W,80.30268513374334,S,139.79798545105638,E
l,99,14936,tTmzqKmocC,8.801037706343378,S,125.00952507186831,W,80.30268513374334,S,139.79798545105638,E
re,100,83687,yqEzLjjcBv,50.214518767861435,S,68.63160899612525,W,6.181522061665264,S,166.29005052705097,E
l,101,77373,QyMtCedTeX,48.5782722924921,N,45.96685236383289,E,76.02337621358137,N,23.519012002132914,W
re,102,99034,JIGXLiWONe,8.801037706343378,S,125.00952507186831,W,65.58579693226744,S,85.43398004184517,W
re,103,91104,oCOlgRuDtf,71.52758983023048,N,172.71537159294664,W,80.30268513374334,S,139.79798545105638,E
l,104,67057,OjMkoCtWTH,71.52758983023048,N,172.71537159294664,W,75.06800297108528,N,28.976735883290136,W
l,105,32224,HVPiplUoMy,10.084062840798328,N,79.63123276582628,W,80.30268513374334,S,139.79798545105638,E
re,106,14082,CsyXuYEdEI,10.084062840798328,N,79.63123276582628,W,10.34684198932785,S,90.95517877714266,W
re,107,28717,zCgkjhbzzS,26.646086147172642,S,111.13190402966073,E,5.363004563163125,N,123.83344948778084,E
l,108,18734,scAqJsncwQ,22.67900861345641,N,12.06590948214021,E,80.30268513374334,S,139.79798545105638,E
l,109,89360,TOshzLrQJk,24.33818127286252,S,171.85583107629532,E,80.30268513374334,S,139.79798545105638,E
l,110,77662,GOrSOkJuwB,13.04460601840326,S,20.575010893390026,E,44.32856632418913,N,70.50680727464572,E
l,111,34238,kjbtEyjntd,71.52758983023048,N,172.71537159294664,W,53.50682716272889,S,45.76441308079598,W
l,112,69809,PyLUqRaURE,83.67152976259372,S,144.2350755730744,E,80.30268513374334,S,139.79798545105638,E
re,113,63557,rpENyVjzNO,83.67152976259372,S,144.2350755730744,E,83.26640140602694,S,51.687419414827815,W
re,114,62456,xoIIuwApfi,55.7477479042521,S,81.33782187860044,E,48.698030040866875,N,17.680025817268614,E
l,115,83129,DKHLQIMbLl,71.52758983023048,N,172.71537159294664,W,72.1104501267622,S,172.02316716288937,W
re,116,61406,dWBLXeUBGs,22.155822997058156,S,46.01022979160905,E,43.91474020335676,N,144.2849253647999,W
re,117,46612,yyzpEJFdkf,12.703031767306836,S,84.34212577155517,W,1.0089668421347624,S,96.82538775045,E
re,118,88249,HMpOfuOfGv,83.67152976259372,S,144.2350755730744,E,79.73750715574792,N,77.76113480302651,E
re,119,69493,VYWwOLLGjP,47.18335841517941,S,163.2616084194961,W,80.30268513374334,S,139.79798545105638,E
l,120,30784,pXplPQDbpb,47.18335841517941,S,163.2616084194961,W,48.01037523002814,N,126.69475205331568,E
l,121,63828,coPseqHAtY,43.83120911934915,S,133.2734603429959,E,80.30268513374334,S,139.79798545105638,E
re,122,15767,QdsfmeidYA,43.83120911934915,S,133.2734603429959,E,22.473026580056253,S,30.01950594998235,W
l,123,85559,OEUnqLEAOg,47.18335841517941,S,163.2616084194961,W,65.35934794355067,N,80.61703811552603,W
re,124,63654,ODlNpdxnFG,4.01772179983376,N,126.81477441641408,E,50.43251690806444,S,41.83720686510583,E
re,125,71124,vgHSqzvlOU,70.03446518724955,S,54.28912100273902,W,38.11372927609619,S,35.94398982748987,E
re,126,73234,JfwdUMsvTa,0.16758446047772158,N,57.899441646295095,W,44.594810420580316,N,10.360806393733702,E
l,127,56749,iqnsIONxqS,31.342825645507737,S,86.44722057955089,W,80.30268513374334,S,139.79798545105638,E
re,128,17092,PZwMUWhIVY,31.342825645507737,S,86.44722057955089,W,12.22888231623401,N,3.3221362742837046,E
l,129,64199,cBxjGqxynk,47.18335841517941,S,163.2616084194961,W,81.03724831728584,S,51.075958378654256,W
l,130,70265,YeaqaKkYAL,47.18335841517941,S,163.2616084194961,W,16.052678620216998,N,9.870001245583646,W
re,131,92747,NNivFzlElb,22.04545840837118,N,36.389922471277686,W,80.30268513374334,S,139.79798545105638,E
re,132,40344,cWkHsfMbDM,43.94703607748364,S,128.21938281304995,W,9.177914631142304,S,174.56886401117242,E
re,133,47387,yEvrSAOTSw,44.78265490587571,S,94.37306898287096,W,72.8662852728365,S,168.4685404917104,W
re,134,82419,nBAJlPgtyP,31.342825645507737,S,86.44722057955089,W,48.724159173472714,S,65.24095525433543,E
l,135,89878,ANpglYsGvT,22.04545840837118,N,36.389922471277686,W,61.67758770243621,N,145.7456802463824,W
re,136,10428,bTjZIIAVNg,6.166172246644993,S,157.64840768719182,W,25.609519540165607,N,48.64668716933379,W
l,137,88301,nHVcQWZZav,44.001575826401435,N,62.831616663982864,W,80.30268513374334,S,139.79798545105638,E
l,138,37663,JztQgQfafB,22.04545840837118,N,36.389922471277686,W,83.50132413452634,N,101.8969539066024,E
re,139,31372,OryUNXcTYJ,44.001575826401435,N,62.831616663982864,W,50.200957147439915,N,133.47285922610598,W
l,140,20981,NxAbZacvQj,22.04545840837118,N,36.389922471277686,W,7.15152063778553,N,38.31114107701866,E
l,141,69822,NjSxKpBirb,22.04545840837118,N,36.389922471277686,W,1.9517725977296734,N,44.74868426569579,W
l,142,6164,KddoNqpAjC,66.17244283254573,S,94.2063191318459,W,80.30268513374334,S,139.79798545105638,E
re,143,31845,OhxnIsqJST,66.17244283254573,S,94.2063191318459,W,36.12131559871293,S,114.08763288427711,W
re,144,8698,HxqSoQijdU,22.309567179081526,S,171.72953031559834,W,80.30268513374334,S,139.79798545105638,E
re,145,36921,yuTcbWqXjy,68.66979811401455,N,2.0246635946758214,W,80.30268513374334,S,139.79798545105638,E
re,146,52052,MCzOGPfMSz,66.7656148958299,N,131.4585576406388,W,80.30268513374334,S,139.79798545105638,E
l,147,30676,WYHyKpypLH,37.750435768742385,S,170.64355662159798,E,53.299652845204285,N,59.237805929446154,W
re,148,28312,tOrSmkdTBG,66.17244283254573,S,94.2063191318459,W,73.22309205512347,S,88.11986273242552,E
l,149,46871,IpOmNDUblt,33.746727022080144,S,57.401055108988395,W,80.30268513374334,S,139.79798545105638,E
re,150,6316,uEqJpBFXkP,33.746727022080144,S,57.401055108988395,W,23.223710098436406,N,58.5521738783588,E
l,151,20513,INHqPPVaTS,66.7656148958299,N,131.4585576406388,W,56.20031918158934,S,48.07522897964592,W
l,152,75813,hzyRsxQlCv,66.7656148958299,N,131.4585576406388,W,49.22866925504589,N,147.94140277669294,W
re,153,19698,fpuhXpRFzj,28.067779599191343,N,1.2877118043823272,W,78.53992144162815,N,77.66157637910057,E
re,154,84398,NmgCMFnbmK,33.746727022080144,S,57.401055108988395,W,51.43425787182257,N,2.699145884063392,E
l,155,2681,cHFIxhzCup,55.970417348687285,N,30.386088936716096,W,80.30268513374334,S,139.79798545105638,E
l,156,16275,tqBQaYwBDh,66.7656148958299,N,131.4585576406388,W,37.99379609478313,S,18.926600978364018,E
re,157,76824,jsjjJKpDJw,54.91130027142356,N,166.43665446699111,E,80.30268513374334,S,139.79798545105638,E
l,158,98865,QpGnnyOHrN,11.389923406478601,S,85.83076497081247,E,80.30268513374334,S,139.79798545105638,E
l,159,11163,CdmaKBdzoA,77.48783341046735,S,130.28081937349887,E,37.99759527981977,S,133.4901578432258,E
l,160,42595,MsNCRROsbF,54.91130027142356,N,166.43665446699111,E,37.70280225013841,N,105.68500080366648,W
l,161,42625,ByzTBfjYUo,82.50083557378514,S,171.66264540998935,E,19.51520754587369,N,126.70929313755774,W
re,162,55335,tRugKDSeHG,53.06523920048555,S,170.7520098213447,W,80.30268513374334,S,139.79798545105638,E
l,163,61962,dLfjMYpCyY,53.06523920048555,S,170.7520098213447,W,13.010919268182638,N,156.7715379732727,W
l,164,65461,FsriSsDfhD,46.15155391828874,S,157.77565567862501,E,80.30268513374334,S,139.79798545105638,E
l,165,77817,NUjuBRnIKV,22.00744647385514,S,53.46473616756188,W,80.30268513374334,S,139.79798545105638,E
re,166,5195,IrMTCgvGfF,80.61657259079216,N,137.44631102648341,W,80.30268513374334,S,139.79798545105638,E
re,167,87290,twsMBHquYW,84.14562765936887,S,11.760487665423666,E,8.865698094234524,S,16.149565179974026,W
re,168,64634,irNdDujUrn,43.668353573514004,S,156.4520474416496,E,80.30268513374334,S,139.79798545105638,E
re,169,94833,AEXKQmxuDH,20.935815580359197,S,142.26422801667306,W,80.30268513374334,S,139.79798545105638,E
l,170,90341,YmjyMojWnR,20.935815580359197,S,142.26422801667306,W,35.10778151403233,S,165.19350104595577,E
re,171,69118,zSkLWcuPmU,20.352294336263498,N,58.41904275502146,W,80.30268513374334,S,139.79798545105638,E
re,172,56052,PJmaMtTpWG,22.00744647385514,S,53.46473616756188,W,36.2250579480972,S,54.68276178150414,E
re,173,19470,LHnntoJKNu,22.00744647385514,S,53.46473616756188,W,83.89889991796976,N,44.62336286985882,E
re,174,70086,tsKMWNHtMH,27.0382651724736,N,30.495409678126926,W,17.253534056580374,N,154.12821407530555,W
re,175,81576,pOfXIOdXvR,52.110570004163336,N,9.234974590229122,E,80.30268513374334,S,139.79798545105638,E
l,176,7894,fWeXMgckDT,52.110570004163336,N,9.234974590229122,E,0.4375253971785986,N,131.13631173091852,E
re,177,30451,AvFouJEiao,30.04472916466846,S,64.94802757002222,W,80.30268513374334,S,139.79798545105638,E
re,178,72740,slJIWcGFkr,73.19639532793649,S,86.22624623111754,W,80.30268513374334,S,139.79798545105638,E
re,179,41232,YBhaWLzbsF,57.234105399434604,S,112.13551410312955,W,80.30268513374334,S,139.79798545105638,E
l,180,1710,RGSSdqmszH,55.57248612807922,N,152.07834035779786,E,80.30268513374334,S,139.79798545105638,E
re,181,12716,wXZwjywpuR,57.80801885383506,S,25.96998800884604,E,80.30268513374334,S,139.79798545105638,E
l,182,62084,TTcdiZgrPH,57.80801885383506,S,25.96998800884604,E,83.7396016930343,S,115.5067486607147,E
l,183,1489,AiisVMVbzh,57.80801885383506,S,25.96998800884604,E,22.691596462294175,S,77.95391493363098,W
re,184,91953,EXQipwjwmG,8.220168450581495,S,89.52639859998136,E,83.7396016930343,S,115.5067486607147,E
l,185,32704,RzDMiQWPlR,8.220168450581495,S,89.52639859998136,E,21.616474702401042,N,3.093504737399291,E
re,186,41335,eoNgBVIHRO,16.305481530404748,S,12.798053969566897,W,83.7396016930343,S,115.5067486607147,E
re,187,47929,JXIcKpOvoH,46.5674986207011,N,106.07862059583476,E,83.7396016930343,S,115.5067486607147,E
l,188,66420,WrXtmmncyx,46.5674986207011,N,106.07862059583476,E,72.21106227273269,S,62.42714880091349,W
l,189,57458,ZtoMMqEbPR,46.5674986207011,N,106.07862059583476,E,9.448909108653691,S,21.621032942938406,W
l,190,7390,WPqzdlCCMO,46.5674986207011,N,106.07862059583476,E,19.995260948276524,N,13.75480854035374,E
l,191,73705,qTUfPObnVZ,57.22926392140309,S,33.96091392854469,E,1.4197177347604117,S,55.066338929946966,E
re,192,7524,bdgShIZrWi,28.299804198128044,N,60.86818408542113,W,55.154931908726766,S,92.63964924357069,W
re,193,56317,ktXuADGHTd,57.80801885383506,S,25.96998800884604,E,4.139747479717496,S,116.5796719454072,E
re,194,15496,AbbYtlKVht,57.80801885383506,S,25.96998800884604,E,76.73440669558748,N,156.60973301978345,E
re,195,68771,RmdWsqXwNS,0.8619797465988238,S,155.95611110314817,E,83.7396016930343,S,115.5067486607147,E
re,196,25510,DxxPZaZIvf,67.46627241119124,N,129.64662461085396,W,76.0805584571896,S,133.3042149515083,W
re,197,52116,pdRGDElCHK,57.80801885383506,S,25.96998800884604,E,68.78870013896393,N,140.39995143644222,E
l,198,79140,OzYJGkhtSg,0.8619797465988238,S,155.95611110314817,E,76.24130782354335,N,17.874601294535626,E
re,199,21765,VvRnMqQDSm,57.80801885383506,S,25.96998800884604,E,81.86935776503539,S,12.665224794489099,E
re,200,79025,anCOgzKycL,50.73624958213477,N,61.21581812628023,E,40.45605203819143,S,170.1604207679453,E
re,201,38615,cyfJDneWIa,57.80801885383506,S,25.96998800884604,E,73.31944134782555,N,53.21295509268373,W
re,202,19673,bAvkifXnsk,57.80801885383506,S,25.96998800884604,E,62.151345320596896,N,164.86081083074498,W
l,203,11597,GPhoRuIFNl,0.8619797465988238,S,155.95611110314817,E,67.30084731461716,N,74.09301651473714,E
l,204,36129,AqlGLYOuoP,34.103604019824914,S,29.58040812385354,E,60.52607252305454,S,41.52585744316582,E
re,205,397,AUkYPgQpee,57.80801885383506,S,25.96998800884604,E,15.228717610140862,S,111.87584387109402,E
re,206,11300,JNfrWjlDpF,75.71519803422402,S,2.837086003019318,E,15.396781443045846,N,119.70658833894835,E
re,207,80033,SCuyCbzsbE,49.62171682634866,N,106.12342051417802,W,83.7396016930343,S,115.5067486607147,E
l,208,16343,zwrBaqboIt,24.34869315068263,N,164.33619658058683,E,48.72006846934231,S,40.08459408561521,E
l,209,10164,lPYSDapgHF,49.62171682634866,N,106.12342051417802,W,60.27707352196906,N,137.53448048207866,E
l,210,37877,lIzeiHtNPP,49.62171682634866,N,106.12342051417802,W,13.346080686273309,S,96.29102942840018,W
l,211,8137,CXPsREgMOi,24.575991058418982,S,36.573115788262704,E,83.7396016930343,S,115.5067486607147,E
re,212,16802,YzsqzJpISS,24.575991058418982,S,36.573115788262704,E,35.13043281206262,S,23.641866812434344,W
re,213,20945,tGWWHTlPzj,62.7643828797474,N,131.64690011005806,E,83.7396016930343,S,115.5067486607147,E
re,214,76924,oSBLlkHIqd,24.575991058418982,S,36.573115788262704,E,27.393044553328146,N,159.60964807802026,E
re,215,18785,SIcDheOrdk,36.38869224027707,S,135.6754604081121,W,83.7396016930343,S,115.5067486607147,E
l,216,22368,jppEHhzNvX,36.38869224027707,S,135.6754604081121,W,53.09615123092808,N,131.11508379216093,W
l,217,96985,KHPaAgVLQg,36.38869224027707,S,135.6754604081121,W,82.5955963396771,N,143.7793720343251,W
l,218,45728,GUCrLqClap,36.38869224027707,S,135.6754604081121,W,21.477934750946446,N,21.218653702423122,E
re,219,28675,jfjUiJeYCa,80.89170469656126,N,42.91315204967268,W,83.7396016930343,S,115.5067486607147,E
re,220,8560,qaBCoqvKpl,24.575991058418982,S,36.573115788262704,E,54.48933123905805,S,82.0546123978485,W
re,221,56785,AztvFclhIk,34.77216399400099,S,122.1379927227147,W,48.293195826309855,S,19.153174370728532,E
l,222,19133,aYDQCTrGLe,40.59906077995384,S,42.909712901785625,W,4.41196439154198,N,161.08485320214692,E
l,223,46078,XETzHEmARP,26.236930485191426,S,129.69789509948794,E,53.70943324434381,S,98.46105689524323,E
re,224,27516,GrLbVgUAVU,24.575991058418982,S,36.573115788262704,E,72.68762836865984,N,127.43549806348038,W
l,225,35481,SgoxrTuIZU,80.89170469656126,N,42.91315204967268,W,2.7189799123102905,S,135.27522317464422,W
re,226,93283,qkhZkzhCfA,69.06974239806421,N,82.51531182418888,W,83.7396016930343,S,115.5067486607147,E
re,227,10668,WXazzGoXbP,76.60747709065575,S,133.64081925849968,W,80.1291917873571,S,74.10792161511681,E
re,228,88429,oZiSvRETTN,84.25560848059445,S,121.80596130075614,E,0.6887979027439506,N,44.777614498224324,W
l,229,28768,yRZpxuKuSW,75.1824652347597,N,56.039348188718364,W,83.7396016930343,S,115.5067486607147,E
re,230,42379,ggKEzlKmev,0.9107274494892037,S,161.93392019715134,E,59.133150212511936,N,104.0079246218225,E
l,231,39557,bnsMAAOqWa,69.06974239806421,N,82.51531182418888,W,81.60491396267754,S,91.5069696624856,E
re,232,9250,wJSFYqcvvU,69.06974239806421,N,82.51531182418888,W,58.99483728151659,S,31.84865231982123,E
re,233,89526,PFPmYswdag,69.06974239806421,N,82.51531182418888,W,48.59867024594722,N,0.276361849886797,W
re,234,46816,LlDNXHXfAO,60.37353987873394,N,77.10541698932637,E,16.041245348623214,N,71.18106810245848,W
l,235,75062,FVLgyejICJ,69.06974239806421,N,82.51531182418888,W,27.027746434337345,N,102.66008958105517,W
l,236,34799,KnqcHWlGiz,69.06974239806421,N,82.51531182418888,W,46.03599892164444,S,49.470449368985136,E
l,237,24469,wCVsMhrnON,73.91280842419033,N,34.10338958667723,E,3.588291452433649,S,1.4148116094006706,W
re,238,86062,eXTxFWxlII,63.581615004681304,S,50.775183226905554,E,81.60491396267754,S,91.5069696624856,E
re,239,13281,MWgTWcrvgQ,74.62798672767875,N,97.49683125800317,E,81.60491396267754,S,91.5069696624856,E
